name,arch,alpha,lr,batch,ic,pval,NN_hedge_sharpe,NN_hedge_max_dd,NN_hedge_returns,NN_hedge_cumulative_return,NN_long_sharpe,NN_long_max_dd,NN_long_returns,NN_long_cumulative_return,NN_short_sharpe,NN_short_max_dd,NN_short_returns,NN_short_cumulative_return
WIDE_32_32,"(32, 32)",0.0001,0.001,1024,0.06648440843605977,1.1119068790609618e-43,1.01470280895191,-0.23834723258807666,0.15945123108920728,1.953134047332576,0.27876500737289595,-0.316182042560528,0.0539089664582163,0.3521152997898247,0.4310909283142316,-0.5544556602803205,0.10554226463099091,0.6732375233541554
WIDE_64_64,"(64, 64)",0.0001,0.001,1024,0.06398973701194534,1.3816609055238373e-40,1.267570869802951,-0.16864793148739507,0.18520612780908932,2.575654632632451,0.33127285635426296,-0.2945402868449445,0.06144561633555333,0.4428694072676713,0.5199730546999773,-0.46671530871733474,0.1237605114735357,0.9242401296515554
DEEP_64_64_32,"(64, 64, 32)",0.0001,0.001,1024,0.0635317770918185,4.961573675545371e-40,1.3459961944421055,-0.15035192155674726,0.1932876638801136,2.7958459741387913,0.3492412984099736,-0.2866109653106693,0.06840041060475345,0.5046762493904711,0.5365208361864516,-0.4400115785924643,0.12488725327536035,0.9441809645383625
SHALLOW_32,"(32,)",0.0001,0.001,1024,0.06080867042881581,8.221764719219653e-37,1.0653578146745017,-0.18956071016841072,0.1650808396906883,2.0425251404673483,0.27736017959434794,-0.29872591540299165,0.05062832410660158,0.3356538177618369,0.477392805702757,-0.5427379270414031,0.11445251558408667,0.7803724689902864
REG_WEAK,"(32, 32)",1e-05,0.001,1024,0.06729315691609167,1.0412583937380395e-44,0.9938265408028153,-0.2589079991000088,0.15974483906491502,1.930469891844726,0.2778171480724323,-0.31401956598166203,0.053839394132557936,0.350165252166573,0.4357964403399726,-0.5564704843238311,0.10590544493235698,0.6715030628879115
REG_STRONG,"(32, 32)",0.001,0.001,1024,0.0683406938850704,4.644121743674802e-46,1.06938647151082,-0.23335223444791348,0.16770181230234957,2.1413933861861345,0.3388920252147186,-0.30764973412067753,0.0635430954799546,0.4658748430891291,0.4314323893872168,-0.5604735244421747,0.10415871682239494,0.6634708204783539
LR_FAST,"(32, 32)",0.0001,0.005,1024,0.06429402851314739,5.878788066895075e-41,1.0966747356602435,-0.18438705227708793,0.1671101917128392,2.1131720974360118,0.27612579213693633,-0.29902754627898537,0.05294754694168885,0.33897391904197405,0.46778985467402756,-0.5389968674429004,0.1141626447711504,0.774254491483461
LR_SLOW,"(32, 32)",0.0001,0.0001,1024,0.06574992838687174,9.318961367257884e-43,1.1767920028803251,-0.22598890289038032,0.1756332557312489,2.2960164935755367,0.3524721025572222,-0.30294257501806776,0.06540544904024048,0.4820764440976104,0.45718438674333634,-0.5187245043794375,0.1102278066910086,0.7170889597837382
BATCH_4096,"(32, 32)",0.0001,0.001,4096,0.06294679538145957,2.5064110989909478e-39,1.1914743880816017,-0.17360835461607832,0.17301670730683172,2.3175991123765396,0.32635465851047585,-0.29595842049074506,0.06305140220745396,0.44500470311549134,0.46590115025752643,-0.530467147517015,0.10996530509937796,0.7648370664809279
BATCH_512,"(32, 32)",0.0001,0.001,512,0.06467317003118768,2.0157188524905818e-41,0.9514023712237496,-0.27358706587574994,0.15189925296274565,1.6954156471497934,0.2611753381235473,-0.31805916506929244,0.04971112788915785,0.3117845780071733,0.4178638080104733,-0.5782753757713367,0.10218812507358774,0.5813391118596649
EXPRESSIVE_LOWREG,"(64, 32)",1e-05,0.001,512,0.060175675144029016,4.397428703246681e-36,1.4606042073327148,-0.16182357178067885,0.19427014051989128,2.888161391345703,0.31992564216488667,-0.31394621475965784,0.062465273439645155,0.4391734495670383,0.5773176647021402,-0.4572631012957534,0.13180486708024616,1.0794426515053295
WIDE_STRONGREG_BIGBATCH,"(128,)",0.001,0.001,2048,0.061547408007183176,1.1362879214850809e-37,1.2111106199192703,-0.23917306632742905,0.19349764360661403,2.769991103795528,0.3542540684444591,-0.29445523049615935,0.06568289564494846,0.49049274844681423,0.5419706444787792,-0.5069317966419887,0.1278147479616653,1.0012115768899328
